time,open,high,low,close,adjclose,volume,splits
2006-06-13,15.25,15.283332824707031,15.043333053588867,15.116666793823242,11.663639068603516,3914400,0.0
2006-06-14,15.166666984558105,15.3100004196167,15.08666706085205,15.25333309173584,11.769086837768555,2391900,0.0
2006-06-15,15.270000457763672,15.80666732788086,15.270000457763672,15.766667366027832,12.165162086486816,2933100,0.0
2006-06-16,15.673333168029785,15.779999732971191,15.393333435058594,15.463333129882812,11.931113243103027,2987700,0.0
2006-06-19,15.50333309173584,15.533332824707031,15.34333324432373,15.386667251586914,11.871959686279297,2416800,0.0
2006-06-20,15.369999885559082,15.423333168029785,15.133333206176758,15.239999771118164,11.758797645568848,2444100,0.0
2006-06-21,15.239999771118164,15.58666706085205,15.216667175292969,15.466667175292969,11.933688163757324,2424900,0.0
2006-06-22,15.520000457763672,15.553333282470703,15.326666831970215,15.456666946411133,11.925972938537598,2017800,0.0
2006-06-23,15.416666984558105,15.680000305175781,15.366666793823242,15.470000267028809,11.936263084411621,1185000,0.0
2006-06-26,15.479999542236328,15.74666690826416,15.476667404174805,15.74666690826416,12.149726867675781,1953000,0.0
2006-06-27,15.583333015441895,15.813332557678223,15.293333053588867,15.363332748413086,11.853954315185547,1801200,0.0
2006-06-28,15.369999885559082,15.619999885559082,15.25333309173584,15.523332595825195,11.977411270141602,1668000,0.0
2006-06-29,15.603333473205566,15.803333282470703,15.510000228881836,15.803333282470703,12.193449020385742,2361000,0.0
2006-06-30,15.80666732788086,15.916666984558105,15.686667442321777,15.826666831970215,12.211450576782227,3152100,0.0
2006-07-03,15.800000190734863,15.899999618530273,15.710000038146973,15.866666793823242,12.242319107055664,896400,0.0
2006-07-05,15.833333015441895,15.853333473205566,15.533332824707031,15.763333320617676,12.162586212158203,1890000,0.0
2006-07-06,15.823332786560059,15.890000343322754,15.680000305175781,15.796667098999023,12.18830680847168,1261500,0.0
2006-07-07,15.713333129882812,15.953332901000977,15.66333293914795,15.773332595825195,12.170302391052246,2100300,0.0
2006-07-10,15.856666564941406,16.043333053588867,15.763333320617676,15.883333206176758,12.255176544189453,1432200,0.0
2006-07-11,15.816666603088379,15.866666793823242,15.479999542236328,15.676667213439941,12.095723152160645,1794900,0.0
2006-07-12,15.633333206176758,15.676667213439941,15.433333396911621,15.479999542236328,11.943971633911133,2999400,0.0
2006-07-13,15.40666675567627,15.426667213439941,14.876667022705078,15.256667137145996,11.77165699005127,4855200,0.0
2006-07-14,15.229999542236328,15.30666732788086,14.933333396911621,15.173333168029785,11.707355499267578,4036500,0.0
2006-07-17,15.166666984558105,15.236666679382324,15.053333282470703,15.220000267028809,11.743366241455078,2248200,0.0
2006-07-18,15.220000267028809,15.220000267028809,14.69333267211914,14.776666641235352,11.401300430297852,4984500,0.0
2006-07-19,14.766667366027832,15.433333396911621,14.763333320617676,15.433333396911621,11.907965660095215,3942300,0.0
2006-07-20,15.733332633972168,16.280000686645508,15.433333396911621,15.600000381469727,12.036565780639648,7585800,0.0
2006-07-21,16.21666717529297,16.280000686645508,15.640000343322754,15.956666946411133,12.311756134033203,5862600,0.0
2006-07-24,16.036666870117188,16.420000076293945,15.956666946411133,16.22333335876465,12.517511367797852,3358800,0.0
2006-07-25,16.200000762939453,16.746667861938477,16.083332061767578,16.65999984741211,12.854432106018066,3982500,0.0
2006-07-26,16.67333221435547,16.733333587646484,16.303333282470703,16.47333335876465,12.710403442382812,4037700,0.0
2006-07-27,16.47333335876465,16.616666793823242,16.22333335876465,16.34000015258789,12.607529640197754,2953500,0.0
2006-07-28,16.360000610351562,16.746667861938477,16.360000610351562,16.703332901000977,12.88786506652832,2736300,0.0
2006-07-31,16.729999542236328,16.899999618530273,16.579999923706055,16.866666793823242,13.013893127441406,3154800,0.0
2006-08-01,16.78333282470703,16.786666870117188,16.389999389648438,16.389999389648438,12.646109580993652,3492900,0.0
2006-08-02,16.333332061767578,16.833332061767578,16.333332061767578,16.71666717529297,12.898150444030762,3722400,0.0
2006-08-03,16.766666412353516,17.14666748046875,16.706666946411133,17.073333740234375,13.17335033416748,4544400,0.0
2006-08-04,17.299999237060547,17.333332061767578,17.083332061767578,17.176666259765625,13.25307846069336,4024500,0.0
2006-08-07,17.10333251953125,17.219999313354492,16.84666633605957,16.906667709350586,13.044756889343262,2490600,0.0
2006-08-08,16.89666748046875,17.206666946411133,16.836666107177734,16.983333587646484,13.103906631469727,3462600,0.0
2006-08-09,17.023332595825195,17.023332595825195,16.40999984741211,16.446666717529297,12.689830780029297,5052600,0.0
2006-08-10,16.413333892822266,16.600000381469727,16.290000915527344,16.53333282470703,12.756695747375488,2415300,0.0
2006-08-11,16.5,16.760000228881836,16.350000381469727,16.5,12.73098087310791,2618100,0.0
2006-08-14,16.566667556762695,16.8799991607666,16.566667556762695,16.626667022705078,12.828712463378906,2013600,0.0
2006-08-15,16.799999237060547,16.996667861938477,16.786666870117188,16.92333221435547,13.057616233825684,2904900,0.0
2006-08-16,16.543333053588867,17.373332977294922,16.543333053588867,17.329999923706055,13.437559127807617,3019500,0.0
2006-08-17,17.233333587646484,17.43666648864746,17.21666717529297,17.31333351135254,13.424628257751465,3264600,0.0
2006-08-18,17.266666412353516,17.31333351135254,16.876667022705078,16.899999618530273,13.104137420654297,3447000,0.0
2006-08-21,16.850000381469727,16.98666763305664,16.77666664123535,16.850000381469727,13.065367698669434,1995300,0.0
2006-08-22,16.803333282470703,17.053333282470703,16.803333282470703,16.933332443237305,13.129981994628906,3419100,0.0
2006-08-23,16.983333587646484,17.0,16.703332901000977,16.76333236694336,12.998172760009766,2270700,0.0
2006-08-24,16.76333236694336,16.790000915527344,16.350000381469727,16.510000228881836,12.801735877990723,3853500,0.0
2006-08-25,16.51333236694336,16.540000915527344,16.31999969482422,16.469999313354492,12.770720481872559,2751600,0.0
2006-08-28,16.440000534057617,16.90999984741211,16.413333892822266,16.773332595825195,13.005919456481934,2440500,0.0
2006-08-29,16.883333206176758,17.183332443237305,16.836666107177734,17.07666778564453,13.241125106811523,3209700,0.0
2006-08-30,17.00666618347168,17.246667861938477,16.860000610351562,17.226667404174805,13.35743522644043,2419200,0.0
2006-08-31,17.226667404174805,17.333332061767578,17.05666732788086,17.213333129882812,13.347091674804688,2644800,0.0
2006-09-01,17.296667098999023,17.296667098999023,17.09666633605957,17.136667251586914,13.28764820098877,1432800,0.0
2006-09-05,17.1200008392334,17.356666564941406,17.053333282470703,17.356666564941406,13.458230972290039,1702800,0.0
2006-09-06,17.333332061767578,17.333332061767578,16.866666793823242,16.916667938232422,13.11706256866455,3804600,0.0
2006-09-07,16.989999771118164,17.53333282470703,16.833332061767578,17.35333251953125,13.455648422241211,6512100,0.0
2006-09-08,17.433332443237305,17.72333335876465,17.356666564941406,17.583332061767578,13.633977890014648,2934300,0.0
2006-09-11,17.5,17.516666412353516,17.166667938232422,17.3799991607666,13.476324081420898,5407500,0.0
